train\1\Im_B0\1.jpg ['0.2091203220', '12.6991097200', '0.0220812510', '4.4780905300', '0.0014995780', '-2.4168324420', '48.6404901700', '-3.3573481390'] 0.01121538108888889
train\2\Im_B1\69.jpg ['1.3521367060', '13.0210969300', '0.0357099270', '4.7336742660', '0.0512733670', '-2.3675362300', '5.1483641640', '-1.9176125120'] 0.22682536044444446
train\2\Im_B1\70.jpg ['1.7588929300', '13.0140056300', '0.0374477910', '4.7528022980', '0.0491664310', '-2.3236566820', '4.5068267790', '-1.8199601120'] 0.26787212944444444
train\2\Im_B1\71.jpg ['2.1478048610', '13.0069162300', '0.0406244140', '4.7622817930', '0.0469885030', '-2.2821824000', '3.8667903270', '-1.7056886000'] 0.30067902644444444
train\2\Im_B1\72.jpg ['2.5226484260', '12.9998322100', '0.0451576650', '4.7633086490', '0.0448001530', '-2.2434059650', '3.3666899100', '-1.6373717220'] 0.32814526588888887
train\2\Im_B1\73.jpg ['2.9165571920', '12.9927551500', '0.0504854330', '4.7592431120', '0.0426372380', '-2.2076825000', '3.0175722860', '-1.6371493610'] 0.3530174715555556
train\2\Im_B1\74.jpg ['3.3247258380', '12.9856831400', '0.0555122400', '4.7557821510', '0.0405488650', '-2.1753358280', '2.6602304250', '-1.6346331610'] 0.3795681696666667
train\2\Im_B1\75.jpg ['3.7269125930', '12.9786140000', '0.0516317850', '4.8010614300', '0.0386144490', '-2.1466572700', '2.2958206210', '-1.6302689610'] 0.40077821011111114
train\2\Im_B1\76.jpg ['4.1099711080', '12.9715474800', '0.0477501620', '4.8417376510', '0.0369338520', '-2.1219021990', '1.9254311420', '-1.6245018890'] 0.4114595254444445
train\2\Im_B1\77.jpg ['4.4715665820', '12.9644830900', '0.0446470270', '4.8737622730', '0.0356106040', '-2.1012664530', '1.5500712450', '-1.6178191940'] 0.42931258111111115
train\2\Im_B1\78.jpg ['4.7981917160', '12.9574178500', '0.0424997890', '4.8967249320', '0.0347469840', '-2.0847894430', '1.1706204490', '-1.6107023840'] 0.43770504311111114
train\3\Im_B2\1.jpg ['-0.2646374890', '11.6724425100', '0.0054032900', '2.1364603700', '-0.0129163000', '-4.7564068690', '49.5374976700', '-0.4722332550'] -0.03273060196666667
train\3\Im_B2\2.jpg ['-0.2696087620', '11.6657588000', '0.0060299700', '2.1350040850', '-0.0132066100', '-4.7539647290', '48.9542861900', '-0.4846567420'] -0.04600595102222222
train\3\Im_B2\3.jpg ['-0.2789491350', '11.6590966000', '0.0065117990', '2.1342947300', '-0.0136795050', '-4.7489406130', '48.3713890300', '-0.4986778860'] -0.0482948043
train\3\Im_B2\4.jpg ['-0.3177330610', '11.6524551800', '0.0068594150', '2.1344571620', '-0.0140727210', '-4.7441566750', '47.7887881400', '-0.5158544200'] -0.0482948043
train\3\Im_B2\5.jpg ['-0.3923679090', '11.6458334200', '0.0070991270', '2.1355783720', '-0.0143420140', '-4.7396484350', '47.2064755200', '-0.5364645670'] -0.0482948043
train\3\Im_B2\6.jpg ['-0.4753345190', '11.6392298700', '0.0074201530', '2.1355654280', '-0.0144695850', '-4.7354823870', '46.6244532600', '-0.5597502040'] -0.0482948043
train\3\Im_B2\7.jpg ['-0.5431871490', '11.6326434400', '0.0075107400', '2.1384781970', '-0.0144604720', '-4.7317237770', '46.0427285000', '-0.5846197220'] -0.0482948043
train\3\Im_B2\8.jpg ['-0.5874104960', '11.6260734000', '0.0074832240', '2.1422793630', '-0.0143292300', '-4.7284192670', '45.4613094400', '-0.6100948870'] -0.0482948043
train\3\Im_B2\9.jpg ['-0.6095803310', '11.6195191400', '0.0073328030', '2.1469032610', '-0.0140907980', '-4.7255956840', '44.8802026800', '-0.6355025830'] -0.0482948043
train\3\Im_B2\10.jpg ['-0.6160559040', '11.6129799500', '0.0070617820', '2.1522807060', '-0.0137560260', '-4.7232637820', '44.2994121400', '-0.6604924540'] -0.0482948043
train\3\Im_B2\11.jpg ['-0.6140735410', '11.6064550000', '0.0066796030', '2.1583403610', '-0.0133306420', '-4.7214225080', '43.7189391400', '-0.6849584950'] -0.0490577554
train\3\Im_B2\12.jpg ['-0.6093854270', '11.5999434000', '0.0050983080', '2.1692857270', '-0.0128163110', '-4.7200621340', '43.1387828800', '-0.7089504690'] -0.05271992065555556
train\3\Im_B2\13.jpg ['-0.6058408250', '11.5934443000', '0.0059733980', '2.1708778510', '-0.0131686830', '-4.7112447210', '42.5589397000', '-0.7326972690'] -0.05836575875555556
train\3\Im_B2\14.jpg ['-0.6080156850', '11.5869569700', '0.0069782380', '2.1722232480', '-0.0131065470', '-4.7055133720', '41.9794006100', '-0.7567187580'] -0.06004425116666667
train\3\Im_B2\15.jpg ['-0.6235019380', '11.5804807900', '0.0080556410', '2.1736403260', '-0.0130581120', '-4.6992060800', '41.4001538300', '-0.7816152280'] -0.0611123827
train\3\Im_B2\16.jpg ['-0.6549051660', '11.5740148100', '0.0091520340', '2.1754430570', '-0.0129937230', '-4.6924455150', '40.8211931300', '-0.8075709650'] -0.0635538262
train\3\Im_B2\17.jpg ['-0.6921153860', '11.5675580700', '0.0102135440', '2.1778873530', '-0.0128913600', '-4.6853796770', '40.2425175800', '-0.8344565910'] -0.06935225452222221
train\3\Im_B2\18.jpg ['-0.7271014100', '11.5611098700', '0.0111926970', '2.1811654930', '-0.0127352590', '-4.6781633310', '39.6641256400', '-0.8621938180'] -0.08018616006666666
train\3\Im_B2\19.jpg ['-0.7610178800', '11.5546698400', '0.0120585750', '2.1854144060', '-0.0125083450', '-4.6709377980', '39.0860076000', '-0.8911126860'] -0.08415350575555555
train\3\Im_B2\20.jpg ['-0.8047551420', '11.5482378300', '0.0128049400', '2.1907328950', '-0.0124954450', '-4.6590768290', '38.5081450300', '-0.9218841820'] -0.08415350575555555
train\3\Im_B2\21.jpg ['-0.8680936160', '11.5418130700', '0.0134470770', '2.1971836690', '-0.0121163620', '-4.6512257270', '37.9305283100', '-0.9546476800'] -0.08461127642222223
train\3\Im_B2\22.jpg ['-0.9372749860', '11.5353942500', '0.0139980500', '2.2047559500', '-0.0115810270', '-4.6437184440', '37.3531619800', '-0.9889025700'] -0.08751049057777778
train\3\Im_B2\23.jpg ['-0.9946236100', '11.5289805300', '0.0144619890', '2.2133889380', '-0.0108856920', '-4.6366492950', '36.7760560700', '-1.0240071090'] -0.0957503624
train\3\Im_B2\24.jpg ['-1.0354532550', '11.5225717800', '0.0148425810', '2.2230106240', '-0.0100331700', '-4.6300801970', '36.1992138400', '-1.0596877580'] -0.10597390707777778
train\3\Im_B2\25.jpg ['-1.0695098250', '11.5161682900', '0.0151534590', '2.2335662480', '-0.0090204660', '-4.6240212210', '35.6226218100', '-1.0963207020'] -0.11161974522222222
train\3\Im_B2\26.jpg ['-1.1155477700', '11.5097702600', '0.0151636840', '2.2486542610', '-0.0078311240', '-4.6184202980', '35.0462559000', '-1.1345681220'] -0.1177233538888889
train\3\Im_B2\27.jpg ['-1.1828151860', '11.5033769600', '0.0152165870', '2.2623938030', '-0.0064437730', '-4.6131864580', '34.4700974600', '-1.1747738060'] -0.1259632257777778
train\3\Im_B2\28.jpg ['-1.2629040170', '11.4969875300', '0.0152941470', '2.2769740550', '-0.0048475990', '-4.6082174380', '33.8941329100', '-1.2170435890'] -0.13359273666666666
train\3\Im_B2\29.jpg ['-1.3491991690', '11.4906016900', '0.0144387250', '2.2962388700', '-0.0030405430', '-4.6033834670', '33.3183487000', '-1.2614447340'] -0.14244296944444443
train\3\Im_B2\30.jpg ['-1.4407048970', '11.4842193200', '0.0159361240', '2.3071962060', '0.0138048840', '-4.6816586810', '32.7427320400', '-1.3079888330'] -0.15175097277777777
train\3\Im_B2\31.jpg ['-1.5358085920', '11.4778403300', '0.0176155940', '2.3186172000', '0.0160202920', '-4.6742629960', '32.1672683700', '-1.3567086510'] -0.1560234988888889
train\3\Im_B2\32.jpg ['-1.6353313690', '11.4714647000', '0.0194451590', '2.3307393510', '0.0184479990', '-4.6664067950', '31.5919447700', '-1.4075622950'] -0.15968566411111113
train\3\Im_B2\33.jpg ['-1.7370605210', '11.4650916500', '0.0213909250', '2.3437939770', '0.0209829060', '-4.6574179840', '31.0167616700', '-1.4601635970'] -0.16884107733333334
train\3\Im_B2\34.jpg ['-1.8296758980', '11.4587204200', '0.0234118500', '2.3579723600', '0.0235198390', '-4.6467394170', '30.4417247500', '-1.5140600020'] -0.17998016322222224
train\3\Im_B2\35.jpg ['-1.9104340410', '11.4523516100', '0.0254696180', '2.3734391340', '0.0259742980', '-4.6339729080', '29.8668244600', '-1.5692001690'] -0.18638895244444445
train\3\Im_B2\36.jpg ['-1.9924762770', '11.4459862300', '0.0275444990', '2.3903512860', '0.0283038930', '-4.6188832000', '29.2920384600', '-1.6257833010'] -0.19401846344444446
train\3\Im_B2\37.jpg ['-2.0847312640', '11.4396237700', '0.0296894320', '2.4086049930', '0.0305055650', '-4.6014089270', '28.7173505800', '-1.6838257750'] -0.20042725266666667
train\3\Im_B2\38.jpg ['-2.1814334050', '11.4332635100', '0.0321150590', '2.4275398430', '0.0299374070', '-4.5610647320', '28.1427497500', '-1.7432271990'] -0.204852369
train\3\Im_B2\39.jpg ['-2.2787154090', '11.4269051000', '0.0346747980', '2.4478026340', '0.0326633980', '-4.5411535620', '27.5682330000', '-1.8037451210'] -0.21202410922222223
train\3\Im_B2\40.jpg ['-2.3713255150', '11.4205480700', '0.0373439240', '2.4695469790', '0.0356429290', '-4.5209303640', '26.9938051900', '-1.8650357340'] -0.21751735711111111
train\3\Im_B2\41.jpg ['-2.4551073700', '11.4141927400', '0.0400898450', '2.4929231190', '0.0387650800', '-4.4997665190', '26.4194674600', '-1.9268654440'] -0.21751735711111111
train\3\Im_B2\42.jpg ['-2.5337292390', '11.4078393800', '0.0435905490', '2.5207186250', '0.0419379290', '-4.4771241770', '25.8452264400', '-1.9889445830'] -0.21751735711111111
train\3\Im_B2\43.jpg ['-2.6046964880', '11.4014869100', '0.0460377390', '2.5506563560', '0.0450904410', '-4.4526131060', '25.2711088700', '-2.0507336090'] -0.21751735711111111
train\3\Im_B2\44.jpg ['-2.6576104090', '11.3951346100', '0.0484929170', '2.5820933230', '0.0481674900', '-4.4260085660', '24.6971506100', '-2.1116586950'] -0.21751735711111111
train\3\Im_B2\45.jpg ['-2.6899426290', '11.3887828700', '0.0509314050', '2.6150590330', '0.0511343050', '-4.3972123050', '24.1233855500', '-2.1712670110'] -0.21751735711111111
train\3\Im_B2\46.jpg ['-2.7053791190', '11.3824322500', '0.0537770800', '2.6477084520', '0.0539398360', '-4.3660543480', '23.5498404800', '-2.2292658190'] -0.21385519188888888
train\3\Im_B2\47.jpg ['-2.7096937280', '11.3760831500', '0.0568272140', '2.6809026010', '0.0572228300', '-4.3356548850', '22.9765383600', '-2.2854500990'] -0.208361944
train\3\Im_B2\48.jpg ['-2.7061220630', '11.3697350400', '0.0600982480', '2.7145936860', '0.0606501960', '-4.3043261830', '22.4035132600', '-2.3395165700'] -0.204852369
train\3\Im_B2\49.jpg ['-2.6899254730', '11.3633871900', '0.0635970430', '2.7487581600', '0.0642050120', '-4.2719756350', '21.8308081800', '-2.3911127890'] -0.19859617
train\3\Im_B2\50.jpg ['-2.6580818480', '11.3570400300', '0.0673167170', '2.7834334090', '0.0678599000', '-4.2384757440', '21.2584618200', '-2.4399871080'] -0.17998016322222224
train\3\Im_B2\51.jpg ['-2.6141866330', '11.3506938300', '0.0712353920', '2.8187611070', '0.0715817650', '-4.2036545320', '20.6865302900', '-2.4857481840'] -0.15358205544444445
train\3\Im_B2\52.jpg ['-2.5507218170', '11.3443464900', '0.0752976370', '2.8549851230', '0.0753221160', '-4.1673331160', '20.1151326600', '-2.5274563220'] -0.13542381933333333
train\3\Im_B2\53.jpg ['-2.4393894290', '11.3379961000', '0.0793872660', '2.8924274530', '0.0789996620', '-4.1293744150', '19.5444304600', '-2.5639205670'] -0.12809948877777777
train\3\Im_B2\54.jpg ['-2.2636646530', '11.3316452100', '0.0833509250', '2.9314520850', '0.0825110060', '-4.0896584590', '18.9745332400', '-2.5945776450'] -0.12443732355555556
train\3\Im_B2\55.jpg ['-2.0504374370', '11.3252982500', '0.0869804580', '2.9727010300', '0.0857859600', '-4.0480794970', '18.4054452800', '-2.6198214940'] -0.1129930571111111
train\3\Im_B2\56.jpg ['-1.8474243930', '11.3189568600', '0.0869612540', '3.0358597900', '0.0887449370', '-4.0043419940', '17.8371056000', '-2.6405058940'] -0.09208819714444445
train\3\Im_B2\57.jpg ['-1.6814245080', '11.3126192200', '0.0878908020', '3.0937891930', '0.0881672370', '-3.9388632730', '17.2694814800', '-2.6571332160'] -0.06080720225555556
train\3\Im_B2\58.jpg ['-1.5371898490', '11.3062824700', '0.0889052010', '3.1511224550', '0.0892706620', '-3.8830874060', '16.7026280100', '-2.6694651590'] -0.019607843133333334
train\3\Im_B2\59.jpg ['-1.3746339860', '11.2999450100', '0.0900406430', '3.2074667370', '0.0903597740', '-3.8273763750', '16.1367013400', '-2.6765418440'] 0.013351644155555554
train\3\Im_B2\60.jpg ['-1.1489310370', '11.2936075200', '0.0913032590', '3.2623160620', '0.0913904910', '-3.7719339090', '15.5719132200', '-2.6771115530'] 0.05699244678888889
train\3\Im_B2\61.jpg ['-0.8353028860', '11.2872734700', '0.0926847540', '3.3151075140', '0.0922988980', '-3.7169985280', '15.0084377900', '-2.6703106150'] 0.06797894254444445
train\3\Im_B2\62.jpg ['-0.4488023910', '11.2809452800', '0.0942189210', '3.3652380710', '0.0930374070', '-3.6627999300', '14.4463783600', '-2.6558060440'] 0.06828412298888889
train\3\Im_B2\63.jpg ['-0.0166628570', '11.2746237100', '0.0958859020', '3.4124075460', '0.0936090690', '-3.6096458790', '13.8856312400', '-2.6346510520'] 0.08308537422222223
train\3\Im_B2\64.jpg ['0.3714260270', '11.2683056700', '0.0978055530', '3.4564108030', '0.0940282130', '-3.5575087780', '13.3259624300', '-2.6086047950'] 0.09727626458888888
train\3\Im_B2\65.jpg ['0.6592250890', '11.2619891300', '0.1000859400', '3.4974136440', '0.0944326260', '-3.5065191850', '12.7671853700', '-2.5789392260'] 0.10948348211111111
train\3\Im_B2\66.jpg ['0.8675801970', '11.2556746000', '0.1027514000', '3.5358776470', '0.0949128930', '-3.4567596040', '12.2091923300', '-2.5463391930'] 0.15632867933333333
train\3\Im_B2\67.jpg ['1.0293817040', '11.2493626400', '0.1056895410', '3.5727630840', '0.0955273020', '-3.4082832710', '11.6519758600', '-2.5108352750'] 0.20103761344444446
train\3\Im_B2\68.jpg ['1.1896839510', '11.2430564500', '0.1086135030', '3.6095506050', '0.0962838700', '-3.3611117790', '11.0957065300', '-2.4713857680'] 0.22941939422222224
train\3\Im_B2\69.jpg ['1.4355599060', '11.2367600600', '0.1110295610', '3.6480003800', '0.0971028610', '-3.3153367180', '10.5405863300', '-2.4268593490'] 0.26329442277777776
train\3\Im_B2\70.jpg ['1.7867585770', '11.2304726900', '0.1123764770', '3.6898656990', '0.0978731670', '-3.2709741770', '9.9867093540', '-2.3768046520'] 0.2640573738888889
train\3\Im_B2\71.jpg ['2.1979202370', '11.2241915700', '0.0923879770', '3.8467666910', '0.0985018270', '-3.2278943530', '9.4340509300', '-2.3214026810'] 0.2642099641111111
train\3\Im_B2\72.jpg ['2.6163916310', '11.2179088100', '0.0875330050', '3.9182160920', '0.0989163580', '-3.1858600590', '8.8824133750', '-2.2617144770'] 0.2642099641111111
train\3\Im_B2\73.jpg ['2.9521516490', '11.2116177000', '0.0826433280', '3.9859572080', '0.0990824870', '-3.1443855150', '8.3315424540', '-2.1989510630'] 0.2669565881111111
train\3\Im_B2\74.jpg ['3.1682011160', '11.2053199200', '0.0778977130', '4.0497134880', '0.0989506700', '-3.1028545320', '7.7812321510', '-2.1339224660'] 0.27855344477777777
train\3\Im_B2\75.jpg ['3.2772834140', '11.1990204400', '0.0734750190', '4.1091517880', '0.0984410640', '-3.0606985250', '7.2313782430', '-2.0667953690'] 0.28145265888888893
train\3\Im_B2\76.jpg ['3.3231151260', '11.1927248200', '0.0695289550', '4.1638383440', '0.0855053560', '-2.9638482420', '6.6819798500', '-1.9971246340'] 0.28145265888888893
train\3\Im_B2\77.jpg ['3.3562422350', '11.1864333000', '0.0661891790', '4.2132149740', '0.0815840650', '-2.9071410800', '6.1330687410', '-1.9242263410'] 0.28145265888888893
train\3\Im_B2\78.jpg ['3.3897308740', '11.1801425800', '0.0635941130', '4.2567084910', '0.0777981840', '-2.8529649680', '5.5846799080', '-1.8472648700'] 0.2733653773333333
train\3\Im_B2\79.jpg ['3.4206551480', '11.1738508900', '0.0619000830', '4.2937655640', '0.0741693410', '-2.8013478540', '5.0368473500', '-1.7651971650'] 0.25490196077777777
train\3\Im_B2\80.jpg ['3.4408886330', '11.1675562700', '0.0612793340', '4.3238798000', '0.0707305390', '-2.7523132690', '4.4895903180', '-1.6767438810'] 0.23781185622222223
train\3\Im_B2\81.jpg ['3.4259042910', '11.1612558900', '0.0618967070', '4.3468736900', '0.0675414720', '-2.7058531700', '3.9429273600', '-1.5801817570'] 0.21583886477777778
train\3\Im_B2\82.jpg ['3.3494409530', '11.1549506700', '0.0638514560', '4.3631602740', '0.0646926590', '-2.6619327870', '3.3969280490', '-1.4729174680'] 0.19707026777777778
train\3\Im_B2\83.jpg ['3.2092058020', '11.1486431200', '0.0670756880', '4.3740453370', '0.0622765600', '-2.6204951270', '2.8517499880', '-1.3510542320'] 0.19630731666666668
train\3\Im_B2\84.jpg ['3.0126369620', '11.1423361200', '0.0712262540', '4.3821051640', '0.0603812760', '-2.5814569370', '2.5331347380', '-1.3267488210'] 0.19630731666666668
train\3\Im_B2\85.jpg ['2.7922009750', '11.1360352000', '0.0755941550', '4.3912544260', '0.0590701170', '-2.5447547540', '2.2762583180', '-1.3368133800'] 0.1992065308888889
train\3\Im_B2\86.jpg ['2.6053465170', '11.1297423500', '0.0728398380', '4.4418051140', '0.0583579320', '-2.5103792390', '2.0095342050', '-1.3467795370'] 0.2265201801111111
train\3\Im_B2\87.jpg ['2.4812712230', '11.1234560400', '0.0702460390', '4.4908502530', '0.0582329670', '-2.4783042950', '1.7337058170', '-1.3564255620'] 0.26787212944444444
train\3\Im_B2\88.jpg ['2.4386440970', '11.1171786500', '0.0685477340', '4.5340680210', '0.0586610440', '-2.4484902310', '1.4494530710', '-1.3653614370'] 0.2910658426666667
train\3\Im_B2\89.jpg ['2.5214984000', '11.1109146500', '0.0678025680', '4.5706337780', '0.0595559200', '-2.4209385660', '1.1574810980', '-1.3731936110'] 0.3099870297777778
train\4\Im_B3\1.jpg ['-0.2646374890', '11.6724425100', '0.0054032900', '2.1364603700', '-0.0129163000', '-4.7564068690', '49.5374976700', '-0.4722332550'] -0.03273060196666667
train\4\Im_B3\2.jpg ['-0.2696087620', '11.6657588000', '0.0060299700', '2.1350040850', '-0.0132066100', '-4.7539647290', '48.9542861900', '-0.4846567420'] -0.04600595102222222
train\4\Im_B3\3.jpg ['-0.2789491350', '11.6590966000', '0.0065117990', '2.1342947300', '-0.0136795050', '-4.7489406130', '48.3713890300', '-0.4986778860'] -0.0482948043
train\4\Im_B3\4.jpg ['-0.3177330610', '11.6524551800', '0.0068594150', '2.1344571620', '-0.0140727210', '-4.7441566750', '47.7887881400', '-0.5158544200'] -0.0482948043
train\4\Im_B3\5.jpg ['-0.3923679090', '11.6458334200', '0.0070991270', '2.1355783720', '-0.0143420140', '-4.7396484350', '47.2064755200', '-0.5364645670'] -0.0482948043
train\4\Im_B3\6.jpg ['-0.4753345190', '11.6392298700', '0.0074201530', '2.1355654280', '-0.0144695850', '-4.7354823870', '46.6244532600', '-0.5597502040'] -0.0482948043
train\4\Im_B3\7.jpg ['-0.5431871490', '11.6326434400', '0.0075107400', '2.1384781970', '-0.0144604720', '-4.7317237770', '46.0427285000', '-0.5846197220'] -0.0482948043
train\4\Im_B3\8.jpg ['-0.5874104960', '11.6260734000', '0.0074832240', '2.1422793630', '-0.0143292300', '-4.7284192670', '45.4613094400', '-0.6100948870'] -0.0482948043
train\4\Im_B3\9.jpg ['-0.6095803310', '11.6195191400', '0.0073328030', '2.1469032610', '-0.0140907980', '-4.7255956840', '44.8802026800', '-0.6355025830'] -0.0482948043
train\4\Im_B3\10.jpg ['-0.6160559040', '11.6129799500', '0.0070617820', '2.1522807060', '-0.0137560260', '-4.7232637820', '44.2994121400', '-0.6604924540'] -0.0482948043
train\4\Im_B3\11.jpg ['-0.6140735410', '11.6064550000', '0.0066796030', '2.1583403610', '-0.0133306420', '-4.7214225080', '43.7189391400', '-0.6849584950'] -0.0490577554
